head := query_30Centriod
337-th query  distance:=46017.6
338-th query  distance:=46518.7
339-th query  distance:=42678.7
340-th query  distance:=17747.8
341-th query  distance:=33114.3
342-th query  distance:=61783.8
343-th query  distance:=33742.9
344-th query  distance:=43191
345-th query  distance:=37794.2
346-th query  distance:=64059.9
347-th query  distance:=25960.4
348-th query  distance:=45464.4
349-th query  distance:=36074.9
350-th query  distance:=36176.3
351-th query  distance:=16586.3
352-th query  distance:=65595.2
353-th query  distance:=37764.5
354-th query  distance:=65950.4
355-th query  distance:=66682.5
356-th query  distance:=64652.1
357-th query  distance:=26151.6
358-th query  distance:=16086.6
359-th query  distance:=12745
360-th query  distance:=30122.6
361-th query  distance:=13537
362-th query  distance:=52207.7
363-th query  distance:=62199
364-th query  distance:=68961.9
365-th query  distance:=51645.6
366-th query  distance:=37096.7
367-th query  distance:=40397.4
368-th query  distance:=32983.5
369-th query  distance:=30556.2
370-th query  distance:=74021.5
371-th query  distance:=33464.8
372-th query  distance:=32520.7
373-th query  distance:=38945
374-th query  distance:=78793.1
375-th query  distance:=45442
376-th query  distance:=55883.5
377-th query  distance:=34446.1
378-th query  distance:=28315.9
379-th query  distance:=40666.4
380-th query  distance:=49975.4
381-th query  distance:=73559.6
382-th query  distance:=49181.5
383-th query  distance:=46596.9
384-th query  distance:=36990.9
385-th query  distance:=60541.8
386-th query  distance:=24555.8
387-th query  distance:=27791.1
388-th query  distance:=63540
389-th query  distance:=26696.1
390-th query  distance:=47748.1
391-th query  distance:=28413.1
392-th query  distance:=32982.9
393-th query  distance:=40329.3
394-th query  distance:=46300.9
395-th query  distance:=48060.7
396-th query  distance:=56096
397-th query  distance:=66423.4
398-th query  distance:=23311.3
399-th query  distance:=71679.8
400-th query  distance:=58103.3
401-th query  distance:=41431.7
402-th query  distance:=54737.1
403-th query  distance:=44721.3
404-th query  distance:=40417.5
405-th query  distance:=49552.8
406-th query  distance:=49457.4
407-th query  distance:=69593.6
408-th query  distance:=46326.9
409-th query  distance:=36973.4
410-th query  distance:=61314.3
411-th query  distance:=63322.8
412-th query  distance:=37645.6
413-th query  distance:=28661.6
414-th query  distance:=17384.3
415-th query  distance:=61955.9
416-th query  distance:=26778.2
417-th query  distance:=29572.3
418-th query  distance:=30421.5
419-th query  distance:=35306.7
420-th query  distance:=36280.5
421-th query  distance:=48737.5
422-th query  distance:=12386.2
423-th query  distance:=19369.8
424-th query  distance:=47652.6
425-th query  distance:=6822
426-th query  distance:=69673.2
427-th query  distance:=46763.4
428-th query  distance:=50737.8
429-th query  distance:=42204.3
430-th query  distance:=16751.4
431-th query  distance:=35644.5
432-th query  distance:=63260.5
433-th query  distance:=19910.7
434-th query  distance:=1956.03
435-th query  distance:=60388
436-th query  distance:=6978.82
437-th query  distance:=39021.3
438-th query  distance:=41578.6
439-th query  distance:=52204.6
440-th query  distance:=67982.1
441-th query  distance:=26447.5
442-th query  distance:=19033.3
443-th query  distance:=51606.8
444-th query  distance:=46694.3
445-th query  distance:=46788.3
446-th query  distance:=50823.6
447-th query  distance:=27974.4
448-th query  distance:=56800
449-th query  distance:=22441.2
450-th query  distance:=61908
451-th query  distance:=56921.7
452-th query  distance:=53954.8
453-th query  distance:=27360.7
454-th query  distance:=59482.3
455-th query  distance:=43372.9
456-th query  distance:=39042.9
457-th query  distance:=60137.7
458-th query  distance:=14752.1
459-th query  distance:=40495.3
460-th query  distance:=40530.5
461-th query  distance:=47745.9
462-th query  distance:=35383.8
463-th query  distance:=60071
464-th query  distance:=29643.2
465-th query  distance:=49425.3
466-th query  distance:=83695.7
467-th query  distance:=40992.1
468-th query  distance:=37072
469-th query  distance:=53482.4
470-th query  distance:=44304.6
471-th query  distance:=78320.9
472-th query  distance:=43745.3
473-th query  distance:=24345.6
474-th query  distance:=50282.4
475-th query  distance:=55159.7
476-th query  distance:=58390.7
477-th query  distance:=51664.4
478-th query  distance:=45686.9
479-th query  distance:=53376.7
480-th query  distance:=26912.6
481-th query  distance:=51001
482-th query  distance:=21386.1
483-th query  distance:=36082.7
484-th query  distance:=2681.74
485-th query  distance:=55806.2
486-th query  distance:=32187.1
487-th query  distance:=27790.8
488-th query  distance:=28872.4
489-th query  distance:=35291.9
490-th query  distance:=63596.7
491-th query  distance:=49006.2
492-th query  distance:=15164.3
493-th query  distance:=6534.13
494-th query  distance:=49513.1
495-th query  distance:=35526.3
496-th query  distance:=57677.8
497-th query  distance:=32723
498-th query  distance:=50701.3
